,sentence_bleu avg,rouge-1 fscore,rouge-2 fscore,rouge-L fscore,corpus_bleu
mr_en_itrans,0.6423,0.613,0.3883,0.5651,0.6949
en_mr_itrans,0.5829,0.4532,0.221,0.4216,0.6285
mr_hi_itrans,0.5827,0.5456,0.303,0.5047,0.6186
hi_mr_itrans,0.5677,0.4285,0.199,0.3985,0.6124
 ,,,,,
mr_en_nllb,0.609,0.5765,0.3401,0.5291,0.6544
en_mr_nllb,0.54,0.4032,0.1784,0.3728,0.581
mr_hi_nllb,0.5732,0.5399,0.2977,0.4983,0.6026
hi_mr_nllb,0.5573,0.419,0.1869,0.3862,0.5961
 ,,,,,
mr_en_gpt,0.5286,0.4678,0.24,0.4105,0.5828
en_mr_gpt,0.3899,0.22,0.0644,0.2019,0.4289
mr_hi_gpt,0.4803,0.4237,0.1964,0.3794,0.512
hi_mr_gpt,0.5218,0.3724,0.1783,0.3537,0.554
