Char : Freq_in_tokens : Freq_in_corpus
रअ : 98 : 1266426
यआ : 61 : 827837
तअ : 54 : 879452
कअ : 48 : 691248
अर : 44 : 538564
नअ : 41 : 595079
सअ : 39 : 568490
यअ : 38 : 360440
आर : 37 : 377846
वअ : 35 : 529115
लअ : 32 : 383925
पअ : 30 : 431368
आअं : 30 : 333374
आअ : 29 : 322778
मअ : 27 : 467979
गअ : 25 : 289287
अक : 21 : 120947
हअ : 20 : 271221
णअ : 20 : 215493
आत : 19 : 292529
अण : 19 : 148400
टअ : 17 : 256758
वआ : 17 : 191760
मआ : 17 : 134475
जअ : 16 : 262879
बअ : 16 : 224900
अअं : 16 : 222703
अस : 16 : 143910
लआ : 15 : 261113
तई : 15 : 162513
अत : 15 : 79324
दअ : 14 : 238142
लए : 14 : 188572
वइ : 14 : 125002
धअ : 14 : 124595
कआ : 14 : 215214
आन : 14 : 147843
पआ : 14 : 92035
षअ : 14 : 123401
आल : 14 : 131638
आह : 13 : 303602
पर : 13 : 136754
तय : 13 : 140055
आव : 13 : 143900
एल : 13 : 117786
डअ : 12 : 189356
नआ : 12 : 179525
सआ : 12 : 134622
लय : 12 : 120418
शअ : 11 : 194664
रआ : 11 : 109082
ईल : 11 : 95021
तर : 11 : 67138
अल : 11 : 65808
लई : 10 : 131741
ऊन : 10 : 143466
इत : 10 : 102213
एत : 10 : 100760
हआ : 10 : 65657
अंत : 10 : 90033
अंच : 10 : 91395
णय : 10 : 103473
आच : 10 : 64688
इल : 10 : 45079
आण : 9 : 140444
इक : 9 : 115672
यए : 9 : 97947
आस : 9 : 85458
णआ : 9 : 85531
कष : 9 : 75087
अह : 9 : 72048
भआ : 9 : 62452
चअ : 8 : 197591
चआ : 8 : 136903
नए : 8 : 138537
रई : 8 : 122889
नइ : 8 : 73503
धय : 8 : 66275
अध : 8 : 76931
आज : 8 : 87054
अंन : 8 : 112363
अंग : 8 : 63833
आग : 8 : 71084
दइ : 8 : 55549
अड : 8 : 57295
जआ : 8 : 56004
मह : 8 : 42671
अन : 8 : 54360
इव : 8 : 43235
चय : 7 : 166385
ळअ : 7 : 110344
तआ : 7 : 115620
आय : 7 : 81933
हओ : 7 : 94719
अय : 7 : 32744
अव : 7 : 34543
खअ : 6 : 93264
हई : 6 : 149893
तए : 6 : 100448
भअ : 6 : 86721
थअ : 6 : 86469
आम : 6 : 89305
ठअ : 6 : 64851
कए : 6 : 99093
वए : 6 : 55366
सए : 6 : 66742
मउ : 6 : 71289
अम : 6 : 49884
षट : 6 : 35691
झआ : 6 : 48000
कत : 6 : 30411
इर : 6 : 23617
चए : 5 : 104824
चई : 5 : 103850
एक : 5 : 81090
घअ : 5 : 75524
सअं : 5 : 70489
आप : 5 : 70964
नई : 5 : 84434
आठ : 5 : 58425
दए : 5 : 64092
दआ : 5 : 52118
वई : 5 : 37718
अंब : 5 : 38853
रओ : 5 : 34646
हइ : 5 : 41292
उर : 5 : 33488
शए : 5 : 21947
ओल : 5 : 28735
अश : 5 : 30472
वय : 5 : 26570
हए : 4 : 218113
अंद : 4 : 61656
रए : 4 : 52841
ठई : 4 : 59339
सउ : 4 : 47128
णई : 4 : 43146
णए : 4 : 39989
टई : 4 : 38125
सथ : 4 : 35981
रव : 4 : 33530
ओत : 4 : 58714
ढअ : 4 : 46172
तइ : 4 : 35997
ळई : 4 : 31115
बआ : 4 : 34632
पउ : 4 : 33266
सऊ : 4 : 28412
ऊर : 4 : 30171
रण : 4 : 18835
पऊ : 4 : 28186
पओ : 4 : 21639
दय : 4 : 21294
अट : 4 : 19574
आष : 4 : 14028
अंध : 4 : 15593
आद : 4 : 15666
ईय : 4 : 15833
आख : 4 : 17237
ईअं : 4 : 12153
एळ : 4 : 16410
जइ : 4 : 12967
कई : 3 : 44550
शइ : 3 : 37223
धई : 3 : 31293
एश : 3 : 42324
कओ : 3 : 32368
वह : 3 : 24499
दई : 3 : 29096
इय : 3 : 33531
रउ : 3 : 29669
ळए : 3 : 41937
घए : 3 : 29503
जई : 3 : 26419
मओ : 3 : 28410
मइ : 3 : 32600
उक : 3 : 22841
रइ : 3 : 21691
आब : 3 : 23394
नअं : 3 : 20190
रऊ : 3 : 26047
इअं : 3 : 21023
इअ : 3 : 21023
गआ : 3 : 19287
रम : 3 : 15911
इस : 3 : 25013
एव : 3 : 21022
धआ : 3 : 18832
खय : 3 : 16252
आट : 3 : 13477
अप : 3 : 20126
अज : 3 : 19296
ओज : 3 : 15538
आळ : 3 : 17314
अँग : 3 : 7224
टर : 3 : 11663
चइ : 3 : 12049
रथ : 3 : 15256
ओध : 3 : 11797
ऋत : 3 : 14249
अंप : 3 : 13811
खई : 3 : 11211
उस : 3 : 10649
इध : 3 : 10599
अद : 3 : 13663
मय : 3 : 7049
फअ : 2 : 79197
अंड : 2 : 35883
मई : 2 : 37300
सत : 2 : 31920
शई : 2 : 30786
उप : 2 : 27928
डए : 2 : 33109
कर : 2 : 23503
झअ : 2 : 24749
ळआ : 2 : 22915
जए : 2 : 23965
ओक : 2 : 23790
लओ : 2 : 21415
रष : 2 : 19568
दउ : 2 : 19248
उळ : 2 : 26345
सओ : 2 : 17159
धइ : 2 : 18100
गर : 2 : 19191
ओन : 2 : 19154
इन : 2 : 16108
इळ : 2 : 17957
खआ : 2 : 16224
अई : 2 : 11463
ओग : 2 : 16345
आढ : 2 : 18216
उत : 2 : 14276
गए : 2 : 15297
अंव : 2 : 14991
अभ : 2 : 13482
उन : 2 : 13879
खए : 2 : 13236
ओड : 2 : 13312
ओट : 2 : 13281
शआ : 2 : 15565
दर : 2 : 12448
उख : 2 : 12768
ओण : 2 : 15233
छअ : 2 : 14434
लइ : 2 : 13950
तउ : 2 : 15027
रय : 2 : 12997
सव : 2 : 14753
शय : 2 : 7553
रग : 2 : 12118
थए : 2 : 13920
एथ : 2 : 12682
उल : 2 : 12441
यअं : 2 : 8889
ऱय : 2 : 12471
एस : 2 : 8986
आअँ : 2 : 6556
ईत : 2 : 10051
जय : 2 : 9892
रश : 2 : 8038
बअं : 2 : 10786
थई : 2 : 6172
ञअ : 2 : 7151
तन : 2 : 5816
