Char : Freq_in_tokens : Freq_in_corpus
रअ : 285 : 1936308
अर : 218 : 1480217
कअ : 195 : 1316229
नअ : 189 : 1120490
सअ : 180 : 1064817
लअ : 171 : 1163947
मअ : 170 : 863271
तअ : 144 : 1624282
वअ : 131 : 1001878
अन : 125 : 587595
अक : 124 : 391094
पअ : 117 : 786121
अल : 111 : 667223
हअ : 106 : 840799
अत : 100 : 695208
जअ : 100 : 404059
बअ : 97 : 296957
दअ : 94 : 537304
गअ : 92 : 398663
अव : 87 : 245104
अम : 85 : 261094
डअ : 83 : 273055
टअ : 78 : 317234
अस : 70 : 377926
अह : 69 : 289683
चअ : 61 : 745156
ळअ : 56 : 211134
अड : 56 : 139985
अद : 55 : 161772
णअ : 54 : 581533
अट : 54 : 140496
अग : 52 : 131973
यअ : 48 : 1441651
फअ : 47 : 84004
अळ : 45 : 156313
शअ : 44 : 338045
अण : 44 : 343926
खअ : 43 : 154238
अज : 42 : 104734
अप : 42 : 90934
अए : 42 : 2889
अब : 38 : 52778
भअ : 35 : 162507
एस : 33 : 6047
धअ : 29 : 259077
ठअ : 27 : 141566
थअ : 25 : 115654
घअ : 25 : 110230
अच : 24 : 72207
एम : 23 : 4890
ढअ : 22 : 46157
अय : 21 : 292804
झअ : 19 : 72745
अख : 19 : 57905
अफ : 17 : 8802
अआ : 17 : 1329
आर : 16 : 17576
एन : 16 : 2808
अश : 15 : 100305
आई : 15 : 3003
षअ : 12 : 186873
आय : 12 : 14768
अथ : 12 : 18617
छअ : 12 : 14432
अई : 12 : 4280
अढ : 11 : 23863
अभ : 11 : 21192
ईए : 11 : 57
अध : 9 : 80194
एल : 9 : 2469
एफ : 9 : 1494
एच : 8 : 1102
एक : 7 : 61667
उप : 7 : 21073
अठ : 7 : 27002
आव : 7 : 5983
एए : 7 : 192
अघ : 6 : 5069
अओ : 6 : 144
उत : 5 : 16299
आज : 5 : 12523
आद : 4 : 7301
आक : 4 : 5669
आठ : 4 : 4785
उल : 4 : 3582
आप : 3 : 33259
आम : 3 : 16171
अझ : 3 : 7581
उम : 3 : 4730
आग : 3 : 4049
इस : 3 : 2650
उड : 3 : 2860
एव : 3 : 1954
उस : 3 : 1096
अऊ : 3 : 1241
उठ : 3 : 1172
आन : 3 : 643
एड : 3 : 416
उट : 3 : 542
उध : 3 : 584
ओप : 3 : 362
आउ : 3 : 195
आइ : 3 : 123
ईआ : 3 : 23
आह : 2 : 171484
आण : 2 : 88892
आल : 2 : 38018
उद : 2 : 10853
इत : 2 : 10511
उच : 2 : 5557
इन : 2 : 3881
आश : 2 : 3912
इड : 2 : 3015
ओळ : 2 : 3233
उभ : 2 : 4095
ऑफ : 2 : 2708
इम : 2 : 2539
इथ : 2 : 2374
उन : 2 : 1891
ऐक : 2 : 1911
आस : 2 : 1623
आढ : 2 : 1702
और : 2 : 1379
उज : 2 : 1094
ओव : 2 : 706
आड : 2 : 793
आच : 2 : 588
उब : 2 : 558
उक : 2 : 697
ओर : 2 : 571
ऋष : 2 : 272
ईओ : 2 : 138
ईद : 2 : 216
अअ : 2 : 124
ओए : 2 : 88
इए : 2 : 15
औस : 2 : 2
आत : 1 : 17339
ईल : 1 : 11777
ऊन : 1 : 11697
ञअ : 1 : 7150
आध : 1 : 5265
ईन : 1 : 3356
इट : 1 : 2974
उघ : 1 : 2400
औष : 1 : 2294
उर : 1 : 2144
इल : 1 : 1934
ऑन : 1 : 1863
ईट : 1 : 1840
आब : 1 : 1722
इज : 1 : 1390
इश : 1 : 1287
एप : 1 : 1216
ऑप : 1 : 999
इक : 1 : 908
एट : 1 : 908
ओल : 1 : 876
ईड : 1 : 875
इग : 1 : 866
एअ : 1 : 756
ईस : 1 : 741
ओढ : 1 : 734
आख : 1 : 726
ऊल : 1 : 664
उग : 1 : 661
ऐत : 1 : 605
ऑल : 1 : 604
ऑक : 1 : 582
एज : 1 : 579
ऑर : 1 : 536
आफ : 1 : 526
ओम : 1 : 495
ऊस : 1 : 480
ऐव : 1 : 467
इर : 1 : 452
आळ : 1 : 443
एर : 1 : 385
ऋत : 1 : 378
ओत : 1 : 367
ओब : 1 : 330
ऍड : 1 : 329
ऑड : 1 : 313
ऐन : 1 : 299
ऊर : 1 : 277
ओस : 1 : 274
ऊट : 1 : 269
आऊ : 1 : 269
आट : 1 : 258
ईश : 1 : 257
इय : 1 : 244
आझ : 1 : 228
ङअ : 1 : 227
ओक : 1 : 227
ओन : 1 : 226
अछ : 1 : 216
ऍप : 1 : 213
ओझ : 1 : 212
ऐश : 1 : 189
ईज : 1 : 186
इफ : 1 : 180
ऐस : 1 : 171
इव : 1 : 171
अष : 1 : 166
एब : 1 : 161
ओट : 1 : 157
ईर : 1 : 125
औप : 1 : 117
एश : 1 : 109
औच : 1 : 103
ऋण : 1 : 86
ओह : 1 : 72
उख : 1 : 66
एग : 1 : 62
एय : 1 : 46
आए : 1 : 43
ईई : 1 : 35
इब : 1 : 35
उथ : 1 : 32
एआ : 1 : 30
ऐप : 1 : 25
एह : 1 : 16
एथ : 1 : 14
ईय : 1 : 13
उफ : 1 : 12
ऊप : 1 : 9
आओ : 1 : 6
ऑय : 1 : 5
इध : 1 : 5
उछ : 1 : 2
अऄ : 1 : 1
