Syl : Freq_in_tokens : Freq_in_corpus
कअरअ : 38 : 276212
एसअ : 33 : 6047
एमअ : 23 : 4890
सअरअ : 19 : 93671
टअकअ : 17 : 28686
रअणअ : 16 : 115414
आरअ : 16 : 17576
एनअ : 16 : 2808
वअरअ : 15 : 161488
तअरअ : 15 : 138055
रअतअ : 15 : 81727
हअरअ : 15 : 31747
आई : 15 : 3003
पअरअ : 14 : 257312
कअलअ : 12 : 110176
मअनअ : 12 : 50780
जअनअ : 12 : 32492
आयअ : 12 : 14768
असअ : 11 : 112283
बअरअ : 11 : 35212
लअकअ : 11 : 41580
रअकअ : 11 : 34309
हअलअ : 11 : 28678
हअनअ : 11 : 12147
ईए : 11 : 57
दअरअ : 10 : 86408
गअरअ : 10 : 62857
सअमअ : 10 : 57261
अवअ : 10 : 7309
नअए : 10 : 493
सअए : 10 : 663
नअवअ : 9 : 40612
कअमअ : 9 : 42551
सअतअ : 9 : 59793
मअकअ : 9 : 16648
मअदअ : 9 : 22421
हअमअ : 9 : 11410
एलअ : 9 : 2469
डअकअ : 9 : 5985
एफअ : 9 : 1494
मअतअ : 8 : 54799
तअनअ : 8 : 45362
वअतअ : 8 : 39645
सअहअ : 8 : 32577
रअवअ : 8 : 36172
भअरअ : 8 : 34280
पअहअ : 8 : 24689
रअमअ : 8 : 37589
जअगअ : 8 : 14934
एचअ : 8 : 1102
एकअ : 7 : 61667
कअतअ : 7 : 60281
सअलअ : 7 : 51851
मअरअ : 7 : 51407
वअळअ : 7 : 30957
पअनअ : 7 : 23964
लअगअ : 7 : 26674
उपअ : 7 : 21073
पअटअ : 7 : 25620
गअडअ : 7 : 12163
लअवअ : 7 : 13435
मअजअ : 7 : 19856
अपअ : 7 : 10733
नअकअ : 7 : 7958
आवअ : 7 : 5983
मअए : 7 : 737
एए : 7 : 192
चअरअ : 6 : 36596
मअलअ : 6 : 36784
पअतअ : 6 : 31213
कअसअ : 6 : 21182
रअहअ : 6 : 21796
बअदअ : 6 : 24416
रअसअ : 6 : 17974
रअनअ : 6 : 27545
