Char : Freq_in_tokens : Freq_in_corpus
रअ : 177 : 1458202
नअ : 118 : 709889
तअ : 105 : 993676
कअ : 102 : 752256
सअ : 99 : 780717
अर : 95 : 582505
अन : 85 : 133452
यअ : 73 : 392606
लअ : 70 : 509262
अक : 61 : 83067
यआ : 59 : 839489
वअ : 58 : 565821
आर : 58 : 295915
मअ : 55 : 545226
इक : 50 : 115333
पअ : 49 : 616481
अत : 48 : 133087
गअ : 44 : 330635
आन : 42 : 101132
अम : 38 : 69743
कआ : 37 : 255166
इत : 37 : 104291
तआ : 34 : 114742
हअ : 33 : 243787
जअ : 33 : 226752
आल : 33 : 137609
अल : 33 : 81449
अह : 33 : 24158
बअ : 32 : 240704
आत : 32 : 220014
नआ : 32 : 164008
णअ : 31 : 268437
रई : 30 : 78141
अस : 30 : 100884
पर : 30 : 55897
दअ : 29 : 290340
टअ : 29 : 265098
रआ : 29 : 126287
शअ : 27 : 242891
मआ : 27 : 164486
वइ : 27 : 129444
वआ : 26 : 190155
आअ : 26 : 120456
अण : 26 : 109989
इय : 26 : 35646
आअं : 25 : 166612
सआ : 23 : 101554
तइ : 23 : 24886
लआ : 22 : 227960
नए : 22 : 115990
लए : 21 : 172553
तर : 20 : 73689
रइ : 20 : 25951
डअ : 19 : 184408
अअं : 19 : 233952
इस : 19 : 41336
अय : 19 : 31647
सअं : 18 : 58900
इल : 18 : 73660
लई : 17 : 120126
ओअं : 17 : 7877
ओअ : 17 : 7877
चअ : 16 : 243667
जआ : 16 : 81761
नई : 16 : 82257
कष : 16 : 56096
इन : 16 : 35742
भआ : 16 : 53480
अव : 16 : 12704
थअ : 15 : 66820
षअ : 15 : 108853
कए : 15 : 90882
उन : 15 : 28572
हआ : 14 : 113354
धअ : 14 : 116699
तए : 14 : 97679
तई : 14 : 108442
पआ : 14 : 56570
सए : 14 : 65690
आस : 14 : 83414
उर : 14 : 49644
कइ : 14 : 21059
नइ : 14 : 19270
सथ : 14 : 14485
आव : 13 : 75071
थआ : 13 : 20052
लइ : 13 : 4970
आह : 12 : 271499
आम : 12 : 67716
दए : 12 : 56618
एल : 12 : 95022
रए : 12 : 34781
ऊर : 12 : 36767
हइ : 12 : 24241
धआ : 12 : 31396
एअ : 12 : 20971
अंग : 11 : 62205
अद : 11 : 24050
एअं : 11 : 20966
जइ : 11 : 3506
खअ : 10 : 91172
आज : 10 : 71779
यए : 10 : 94836
अध : 10 : 65236
अंत : 10 : 91267
एत : 10 : 78759
हओ : 10 : 90663
मई : 10 : 38305
सत : 10 : 36193
दआ : 10 : 49514
आच : 10 : 100202
षट : 10 : 35607
ऋत : 10 : 19011
आद : 10 : 29292
आष : 10 : 17535
अग : 10 : 6653
इश : 10 : 19262
उस : 10 : 8980
अब : 10 : 12330
अभ : 10 : 10041
तय : 9 : 143158
एक : 9 : 99096
चआ : 9 : 127774
णआ : 9 : 85519
आय : 9 : 45372
इर : 9 : 42471
ईल : 9 : 74076
बआ : 9 : 34790
अंच : 9 : 122597
एश : 9 : 35609
आप : 9 : 34542
पऊ : 9 : 27808
दइ : 9 : 18594
धइ : 9 : 22888
ओग : 9 : 13526
ईय : 9 : 19963
मइ : 9 : 6451
थइ : 9 : 4755
कऋ : 9 : 5057
अंन : 8 : 93153
ईअं : 8 : 62693
खआ : 8 : 30790
कई : 8 : 33050
इअं : 8 : 45066
इअ : 8 : 45066
अंक : 8 : 16981
यओ : 8 : 16112
उत : 8 : 16799
अप : 8 : 7291
पउ : 8 : 11574
चय : 7 : 166026
ऊन : 7 : 142625
भअ : 7 : 99132
चई : 7 : 102229
इव : 7 : 59408
धय : 7 : 52026
कत : 7 : 29009
अंस : 7 : 16345
अई : 7 : 11474
इम : 7 : 13979
अश : 7 : 27429
चइ : 7 : 12503
गउ : 7 : 2504
सइ : 7 : 5470
गर : 7 : 2823
चए : 6 : 86948
ढअ : 6 : 40117
कओ : 6 : 36662
उल : 6 : 31469
मउ : 6 : 39623
दई : 6 : 32223
रव : 6 : 27611
जई : 6 : 30425
शआ : 6 : 29898
आग : 6 : 26838
लओ : 6 : 16586
सई : 6 : 13250
षआ : 6 : 22580
रऊ : 6 : 23965
रउ : 6 : 17790
उप : 6 : 10945
दध : 6 : 15302
टर : 6 : 15122
उग : 6 : 5840
ओज : 6 : 13939
रम : 6 : 8797
तउ : 6 : 7297
शइ : 6 : 7566
दऊ : 6 : 5494
आध : 6 : 9319
आक : 6 : 5952
अथ : 6 : 6101
सक : 6 : 3326
षइ : 6 : 4389
हउ : 6 : 1513
इए : 6 : 535
नद : 6 : 122
हए : 5 : 212318
हई : 5 : 146352
आण : 5 : 97346
फअ : 5 : 77112
ठअ : 5 : 68304
अंद : 5 : 50959
वई : 5 : 31490
उक : 5 : 32712
गआ : 5 : 33080
टई : 5 : 27626
ठई : 5 : 58914
ईत : 5 : 17933
ओक : 5 : 27291
ओन : 5 : 21626
ईन : 5 : 17237
अज : 5 : 9994
वय : 5 : 16127
ईअ : 5 : 7096
दर : 5 : 11088
तत : 5 : 8198
कर : 5 : 11462
जउ : 5 : 2947
यउ : 5 : 4636
भइ : 5 : 2364
आअँ : 5 : 273
अढ : 5 : 136
तओ : 4 : 40962
अंड : 4 : 34469
ओल : 4 : 34562
ओत : 4 : 53314
ओर : 4 : 23332
आठ : 4 : 54545
रओ : 4 : 23245
झआ : 4 : 39297
मह : 4 : 21514
इट : 4 : 13219
छअ : 4 : 12195
एर : 4 : 13086
एन : 4 : 12211
अंब : 4 : 15733
आट : 4 : 13389
आई : 4 : 15853
रय : 4 : 15204
खय : 4 : 14360
रष : 4 : 16071
मए : 4 : 8987
इप : 4 : 6398
ऊप : 4 : 9148
रथ : 4 : 13158
उद : 4 : 9302
ऊल : 4 : 7153
और : 4 : 5173
इध : 4 : 9124
जञ : 4 : 6158
षए : 4 : 4834
लल : 4 : 8953
एव : 4 : 4943
नय : 4 : 5826
डइ : 4 : 3490
एख : 4 : 2470
पऋ : 4 : 1417
ऐअं : 4 : 1004
ऐअ : 4 : 1004
ऋष : 4 : 1736
नत : 4 : 173
ऐस : 4 : 237
अए : 4 : 111
घअ : 3 : 108233
ळअ : 3 : 101780
णइ : 3 : 81334
लय : 3 : 93428
वए : 3 : 58955
णई : 3 : 36651
शई : 3 : 30082
णय : 3 : 53964
दय : 3 : 21113
दउ : 3 : 19201
एट : 3 : 16400
दओ : 3 : 16754
अळ : 3 : 12065
ओट : 3 : 14255
गई : 3 : 12491
अंव : 3 : 10257
रण : 3 : 10447
एस : 3 : 19866
उख : 3 : 16815
एम : 3 : 8770
गए : 3 : 12472
सट : 3 : 10668
रग : 3 : 8284
शय : 3 : 9518
अंश : 3 : 4524
षठ : 3 : 5205
शव : 3 : 5315
भई : 3 : 3388
मऊ : 3 : 5104
अंध : 3 : 6529
बअं : 3 : 6529
एज : 3 : 3593
