Syl : Freq_in_tokens : Freq_in_corpus
कअरअ : 13 : 151653
रअणअ : 10 : 32598
इसअ : 7 : 38203
कआरअ : 7 : 49689
बअरअ : 7 : 17405
जअनअ : 7 : 11436
वअरअ : 5 : 88003
तअरअ : 5 : 70402
उनअ : 5 : 23336
इअं : 5 : 33287
आअं : 5 : 37190
मआनअ : 5 : 14474
शअनअ : 5 : 11233
लअयअ : 5 : 12785
धआनअ : 5 : 9800
रअहअ : 5 : 1290
नइकअ : 5 : 4258
उसअ : 5 : 876
गअढअ : 5 : 136
जइसअ : 5 : 76
अंतअ : 4 : 51090
आवअ : 4 : 53736
यआअं : 4 : 46678
अंचयआ : 4 : 48685
तयआअं : 4 : 32366
हअरअ : 4 : 16473
तआतअ : 4 : 15082
अधइ : 4 : 12862
टअरअ : 4 : 9248
एअं : 4 : 11132
परअकआ : 4 : 9248
असअ : 4 : 16155
इयअ : 4 : 11802
यअनअ : 4 : 5404
उपअ : 4 : 3807
मएअं : 4 : 2657
डइयआ : 4 : 3491
यओगअ : 4 : 4764
तइकअ : 4 : 1598
रआजअ : 4 : 1099
सअकअ : 4 : 160
अंडअ : 3 : 32985
अंनई : 3 : 64816
तईलअ : 3 : 36220
अंनआ : 3 : 28391
लओकअ : 3 : 15805
अंबअ : 3 : 15732
सअरअ : 3 : 21889
टअकअ : 3 : 12769
अंकअ : 3 : 13504
ओअं : 3 : 7385
रअतआ : 3 : 8294
वअनअ : 3 : 9057
रइकअ : 3 : 6106
सआरअ : 3 : 9500
धआरअ : 3 : 9529
सथआनअ : 3 : 5534
धइकआ : 3 : 4639
अंशअ : 3 : 4527
सअमआ : 3 : 5887
करअमअ : 3 : 7395
पअरइ : 3 : 4001
कषअणअ : 3 : 7030
लअनअ : 3 : 5425
कआरई : 3 : 3879
सअभआ : 3 : 6193
षटरईयअ : 3 : 3488
वइधआ : 3 : 4228
लइतअ : 3 : 1009
ऐअं : 3 : 758
बअनआ : 3 : 611
अमए : 3 : 1053
मएरइ : 3 : 1053
अपअ : 3 : 160
पअहअ : 3 : 90
सअकए : 3 : 90
सअकआ : 3 : 30
बअडअ : 3 : 34
आहए : 2 : 169351
आतअ : 2 : 78081
पअरअ : 2 : 62887
आरअ : 2 : 53598
इतअ : 2 : 53421
इकअ : 2 : 42326
अंदअ : 2 : 42355
अंगअ : 2 : 48581
आयअ : 2 : 40315
आलअ : 2 : 39558
इलअ : 2 : 26805
ओलअ : 2 : 27516
दअरअ : 2 : 27692
इनअ : 2 : 21873
सआठई : 2 : 35608
वअतअ : 2 : 19657
दआरअ : 2 : 18200
णयआतअ : 2 : 33776
दएशअ : 2 : 20740
आपअ : 2 : 29000
चआरअ : 2 : 20846
आगअ : 2 : 13075
हइतअ : 2 : 12246
अंतरअ : 2 : 14859
वआरअ : 2 : 11700
आटअ : 2 : 12072
रअकआ : 2 : 11910
कआरयअ : 2 : 13532
परअतइ : 2 : 9701
पऊरणअ : 2 : 9771
गअलअ : 2 : 9133
भआरअ : 2 : 13008
रअतअ : 2 : 14289
भआगअ : 2 : 13694
एशअ : 2 : 10158
धइकअ : 2 : 10565
अंटअ : 2 : 8716
महअणअ : 2 : 8859
सअलए : 2 : 13168
नआवअ : 2 : 7274
यआरअ : 2 : 7046
सअनअ : 2 : 9089
वअशयअ : 2 : 7191
शयअकअ : 2 : 7191
रआषटरअ : 2 : 11650
ऊपअ : 2 : 5939
चइतरअ : 2 : 5840
दआनअ : 2 : 6417
नअगअ : 2 : 5648
गअरअ : 2 : 10656
हआरअ : 2 : 5798
ओजअ : 2 : 7040
यअकअ : 2 : 9077
चअलअ : 2 : 4745
वआलअ : 2 : 4681
रअतई : 2 : 4912
तईयअ : 2 : 4852
अधयअ : 2 : 4382
टअनअ : 2 : 4942
उततअ : 2 : 4211
वइशवअ : 2 : 4178
कषएतरअ : 2 : 3995
जअयअ : 2 : 4327
यअमअ : 2 : 7236
नइरमआ : 2 : 4153
पअनई : 2 : 3713
पउरअ : 2 : 5155
सअदअ : 2 : 5693
दअनअ : 2 : 5905
आधइ : 2 : 2926
सअमअ : 2 : 2965
अंचए : 2 : 5585
बअंधअ : 2 : 4491
हइलए : 2 : 3700
जअबअ : 2 : 2761
भऊमइ : 2 : 3749
रइयअ : 2 : 2640
बआदअ : 2 : 3652
वइकअ : 2 : 3383
सअरई : 2 : 2358
चअनआ : 2 : 3465
यअरअ : 2 : 2966
नअकअ : 2 : 2437
सअंसथआ : 2 : 2530
कऋतअ : 2 : 2828
रआषटरई : 2 : 3401
वअसथआ : 2 : 3437
सअंबअं : 2 : 3755
तअनअ : 2 : 2222
सथइतअ : 2 : 2007
चअनअ : 2 : 1996
सअंखयआ : 2 : 1992
सआमआ : 2 : 3656
कआशअ : 2 : 2192
आधआ : 2 : 2533
सइकअ : 2 : 2392
रऊपअ : 2 : 3222
परअभआ : 2 : 1945
कअलआ : 2 : 2751
पआलइ : 2 : 2750
भआषआ : 2 : 1516
तइहआ : 2 : 2077
इयओ : 2 : 1550
कअलअ : 2 : 1510
लआई : 2 : 1415
यउकतअ : 2 : 2179
नअवअ : 2 : 1406
चईनअ : 2 : 1915
गईतअ : 2 : 1929
दयआलअ : 2 : 1348
पअशचइ : 2 : 1193
जञआनअ : 2 : 1814
कअथआ : 2 : 1226
अभइ : 2 : 1809
भइनए : 2 : 1809
मईटअ : 2 : 1647
नआमअ : 2 : 1168
सअंसकऋ : 2 : 1009
गरअहअ : 2 : 1511
दअरशअ : 2 : 1733
रशअनअ : 2 : 1733
यअतआ : 2 : 844
परअदअ : 2 : 1357
कअतआ : 2 : 787
पअनआ : 2 : 738
मअणअ : 2 : 1019
सअबअ : 2 : 587
शअकअ : 2 : 591
भइननअ : 2 : 474
सकऋतइ : 2 : 447
वअरतअ : 2 : 587
भअगअ : 2 : 317
लइए : 2 : 217
लअगअ : 2 : 124
यओअं : 2 : 129
भआषइ : 2 : 150
मआलअ : 2 : 83
वअरई : 2 : 76
नओअं : 2 : 91
जअहआ : 2 : 84
हआअं : 2 : 73
वआलई : 2 : 55
डअआ : 2 : 61
डअई : 2 : 57
फअलअ : 2 : 42
डअए : 2 : 53
तएलउ : 2 : 58
अंनए : 2 : 39
हआअँ : 2 : 36
कऋतइ : 2 : 34
नअकआ : 2 : 35
नअकए : 2 : 26
पउरई : 2 : 26
यअहआ : 2 : 25
सअकई : 2 : 30
मइलअ : 2 : 28
सअसए : 2 : 23
सथइतइ : 2 : 13
दऊसअ : 2 : 22
सअमए : 2 : 21
अंकइ : 2 : 20
हअतए : 2 : 12
नएपआ : 2 : 6
ढअवआ : 2 : 3
ऊनअ : 1 : 88248
आणइ : 1 : 81349
एकअ : 1 : 69729
आजअ : 1 : 47410
इवअ : 1 : 43972
मअधयए : 1 : 41502
नआहई : 1 : 40159
एतअ : 1 : 37719
आहअ : 1 : 36947
इरअ : 1 : 32902
आमअ : 1 : 32659
हएतअ : 1 : 32255
आसअ : 1 : 28134
उलअ : 1 : 27728
मउळए : 1 : 26568
ईलअ : 1 : 25676
अंचई : 1 : 25206
उकअ : 1 : 25190
असए : 1 : 23426
हओतए : 1 : 22408
अंचआ : 1 : 22405
कएलए : 1 : 22352
एलअ : 1 : 21123
अंचअ : 1 : 20881
ओरअ : 1 : 20863
सअरवअ : 1 : 20429
णयआसआ : 1 : 20219
कआहई : 1 : 19618
कएलई : 1 : 18932
यआतअ : 1 : 18216
आचयआ : 1 : 18068
उरअ : 1 : 17464
झआलए : 1 : 17246
पअणअ : 1 : 17187
कआमअ : 1 : 16702
आलए : 1 : 16354
रअणयआ : 1 : 15903
आठई : 1 : 15900
ईतअ : 1 : 15819
ओडअ : 1 : 15760
यआचई : 1 : 15476
आतई : 1 : 14636
इकआ : 1 : 14493
आनए : 1 : 14420
ऋतअ : 1 : 14278
हओतआ : 1 : 14241
नअंतअ : 1 : 14225
कएलआ : 1 : 14186
सअतअ : 1 : 13903
ओपअ : 1 : 13779
हओतई : 1 : 13765
आलआ : 1 : 13688
एटअ : 1 : 13498
यआसअ : 1 : 13465
आचआ : 1 : 13204
पअलयआ : 1 : 13182
आनअ : 1 : 12991
आचए : 1 : 12974
पऊरअ : 1 : 12681
हअतअ : 1 : 12649
महअणऊ : 1 : 12614
णऊनअ : 1 : 12614
इटअ : 1 : 12537
दओनअ : 1 : 12501
अनए : 1 : 12388
नएकअ : 1 : 12388
अंसअ : 1 : 12384
उणअ : 1 : 12231
आतआ : 1 : 12136
एरअ : 1 : 12057
इलआ : 1 : 11859
मआतरअ : 1 : 11801
वअळअ : 1 : 11781
एनअ : 1 : 11750
आचई : 1 : 11682
यआचआ : 1 : 11635
आलई : 1 : 11630
रआजयअ : 1 : 11622
ओकअ : 1 : 11528
डऊनअ : 1 : 11491
असआ : 1 : 11487
वआरई : 1 : 11356
ओटअ : 1 : 11351
एकआ : 1 : 11296
