Syl : Freq_in_tokens : Freq_in_corpus
वअरअ : 69 : 75723
कअरअ : 66 : 104906
आअं : 49 : 87850
कआरअ : 48 : 49314
तईलअ : 43 : 38964
अंतअ : 43 : 23136
रअणअ : 41 : 26061
असअ : 41 : 55266
यआअं : 38 : 65807
मअहआ : 38 : 21723
तअरअ : 36 : 60669
कआअं : 34 : 12866
अंनआ : 33 : 46836
अंगअ : 33 : 32991
सआअं : 30 : 22394
मआनअ : 30 : 18724
अंनई : 29 : 62049
सआठई : 29 : 50573
सअरअ : 28 : 21474
णआरअ : 26 : 33211
पअरअ : 25 : 21836
अंडअ : 25 : 13748
दआरअ : 25 : 19701
मइळअ : 25 : 10715
इअं : 24 : 16553
गअरअ : 24 : 15204
जअनअ : 24 : 11962
पअरइ : 24 : 16511
अंचयआ : 23 : 45034
अंबअ : 23 : 26807
आयअ : 23 : 20400
तआतअ : 23 : 22850
परअतइ : 22 : 10573
नअसअ : 22 : 9325
रअणआ : 21 : 14602
बअरअ : 21 : 13881
णयआसआ : 20 : 19664
भआरअ : 20 : 16867
उपअ : 20 : 18510
पअडअ : 20 : 10205
अंटअ : 19 : 8336
वअडअ : 19 : 15278
सअमआ : 19 : 10526
शअनअ : 19 : 7744
अभइ : 19 : 6019
चआलअ : 18 : 8589
लआगअ : 18 : 14675
वआरअ : 17 : 13175
सअमअ : 17 : 11778
मअतअ : 17 : 11509
रआतअ : 17 : 10518
वअणयआ : 17 : 4448
रअणयआ : 16 : 36679
सऊनअ : 16 : 26063
नअंतअ : 16 : 20965
चआरअ : 16 : 17691
अधइ : 16 : 14203
दअरअ : 16 : 19920
सअलयआ : 16 : 19722
मअहइ : 16 : 10798
कआरयअ : 16 : 12111
अंकअ : 16 : 10277
सआरअ : 16 : 13532
वआरई : 16 : 12534
मआअं : 16 : 6011
लआअं : 16 : 7424
रअवअ : 16 : 6317
रअकअ : 16 : 5327
मअहअ : 16 : 6882
आवअ : 15 : 26812
तयआअं : 15 : 39758
सअहअ : 15 : 15678
कअरआ : 15 : 15283
अंदअ : 15 : 11214
नअगअ : 15 : 7408
घअटअ : 15 : 10485
धइकआ : 15 : 8133
तअकअ : 15 : 7519
धआरअ : 15 : 8407
नइकअ : 15 : 6988
लआवअ : 15 : 7240
लअकअ : 15 : 7192
वइणयआ : 15 : 3456
यअकअ : 15 : 5604
णयआतअ : 14 : 32346
कअडए : 14 : 14328
शइवअ : 14 : 8868
वअतअ : 14 : 5641
टअरअ : 14 : 7042
वअसआ : 14 : 8589
ठअरअ : 14 : 6124
एकअ : 13 : 48848
मउळए : 13 : 29430
रआजअ : 13 : 14032
दएशअ : 13 : 11772
रआवअ : 13 : 7453
अंदरअ : 13 : 10501
वअळअ : 13 : 12388
रअतआ : 13 : 13865
वआदअ : 13 : 7229
अपअ : 13 : 6457
यओजअ : 13 : 6558
अनउ : 13 : 5766
शएतअ : 13 : 6608
अवअ : 13 : 5794
वअरषआ : 13 : 7329
दअरशअ : 13 : 6168
ठएवअ : 13 : 6732
ठअवअ : 13 : 4889
यअनअ : 13 : 5213
वएगअ : 13 : 6361
आपअ : 12 : 33138
रअतअ : 12 : 16815
वआढअ : 12 : 11373
लओकअ : 12 : 12435
डऊनअ : 12 : 10967
अंमअ : 12 : 10193
यअलआ : 12 : 8281
तआनआ : 12 : 13619
धआनअ : 12 : 9125
वअनअ : 12 : 7411
वइभआ : 12 : 6216
दअनअ : 12 : 5196
टअकअ : 12 : 10485
अरअ : 12 : 6018
नअवअ : 12 : 5616
दएशआ : 12 : 7183
ऱयआअं : 12 : 4015
ळअवअ : 12 : 2896
मअधयए : 11 : 45194
पआसऊ : 11 : 12404
भअरअ : 11 : 11035
गआवअ : 11 : 9488
लएलयआ : 11 : 23125
जअपअ : 11 : 9564
पअदअ : 11 : 6876
शअकअ : 11 : 16940
कषअणअ : 11 : 9936
रउपअ : 11 : 7682
मआरअ : 11 : 9065
नइवअ : 11 : 11832
करअमअ : 11 : 7799
पअतरअ : 11 : 6777
पऊरअ : 11 : 9064
घअडअ : 11 : 7859
वयअवअ : 11 : 6767
लअयअ : 11 : 5499
रआहअ : 11 : 6109
वइदयआ : 11 : 7806
धअनअ : 11 : 5532
शआसअ : 11 : 5600
गअतअ : 11 : 4424
हइअं : 11 : 4494
पआलइ : 11 : 4992
यअआ : 11 : 4414
षअणअ : 11 : 4077
पअकअ : 11 : 3560
सअंघआ : 11 : 4116
ईलअ : 10 : 19848
अंचई : 10 : 22476
महअणअ : 10 : 12815
दइवअ : 10 : 12527
अंचआ : 10 : 18282
सअलए : 10 : 12606
पअरयअं : 10 : 8892
रयअंतअ : 10 : 8892
भआजअ : 10 : 10160
कअडऊ : 10 : 8896
वइकआ : 10 : 5535
एमअ : 10 : 4790
रअवआ : 10 : 6574
गअडअ : 10 : 5669
वआटअ : 10 : 8019
परअकअ : 10 : 8941
आणअ : 10 : 6849
परअमआ : 10 : 8229
कएलयआ : 10 : 7696
वइषअ : 10 : 5514
मअंडअ : 10 : 4610
वअसए : 10 : 5953
वआहअ : 10 : 9444
पऊरवई : 10 : 5542
रइकअ : 10 : 4405
सआयअ : 10 : 4995
अंधअ : 10 : 6381
मइळआ : 10 : 6596
आठअ : 10 : 4681
लअयआ : 10 : 6675
कआढअ : 10 : 5636
शआअं : 10 : 4114
कअडअ : 10 : 3562
मआलअ : 10 : 3929
टअनए : 10 : 3226
ऱअयआ : 10 : 3731
पअयआ : 10 : 3559
ऊनअ : 9 : 35530
पअणअ : 9 : 30329
कआयअ : 9 : 13840
आरअ : 9 : 9184
नआवअ : 9 : 7491
चइतरअ : 9 : 9457
धयअकषअ : 9 : 6686
सअतआ : 9 : 10555
णयआचई : 9 : 10564
बअतअ : 9 : 10629
सअंघअ : 9 : 6551
सथआनअ : 9 : 5728
जअवअ : 9 : 6129
बआबअ : 9 : 11108
णआऱयआ : 9 : 7159
भआगआ : 9 : 5900
मअजअ : 9 : 5174
चआअं : 9 : 6756
पआसअ : 9 : 5381
दआनअ : 9 : 6001
अंचअ : 9 : 3885
सअनअ : 9 : 6212
वअलए : 9 : 5694
नआगअ : 9 : 6210
हअनअ : 9 : 5554
सआमअ : 9 : 5561
बआअं : 9 : 4741
लयआनअं : 9 : 5880
वअलई : 9 : 3792
दउसअ : 9 : 6148
पअदआ : 9 : 3317
वइकअ : 9 : 4145
घआतअ : 9 : 5209
सअणआ : 9 : 4062
पआठअ : 9 : 4114
फआयअ : 9 : 2948
अडअ : 9 : 4129
रआयअ : 9 : 5576
डअलए : 9 : 3463
गअळअ : 9 : 4039
पआवअ : 9 : 4430
लइकए : 9 : 4292
डअकअ : 9 : 4247
गरआमअ : 9 : 2569
गउअं : 9 : 2513
सअवअ : 9 : 2444
वआचअ : 9 : 2465
पआअं : 9 : 2056
सअरवअ : 8 : 15972
इतअ : 8 : 20498
रऊनअ : 8 : 16001
वआपअ : 8 : 8831
रआजयअ : 8 : 7859
एसअ : 8 : 7789
हओणआ : 8 : 8033
मअनअ : 8 : 7076
रआमअ : 8 : 6680
परअकआ : 8 : 10283
घएतअ : 8 : 13982
लयआनए : 8 : 9815
हअरअ : 8 : 9074
मअंतरई : 8 : 8812
