Char : Freq_in_tokens : Freq_in_corpus
रअ : 296 : 1159254
अर : 196 : 607865
तअ : 170 : 833337
यआ : 168 : 818074
सअ : 153 : 540790
कअ : 152 : 635475
नअ : 131 : 559243
वअ : 122 : 505544
आर : 120 : 328640
यअ : 112 : 369454
मअ : 101 : 392476
पअ : 99 : 383677
अक : 96 : 190226
अत : 91 : 211567
लअ : 87 : 379274
आअं : 75 : 294387
आअ : 73 : 275393
अस : 67 : 189791
कआ : 65 : 241399
अण : 65 : 200467
रआ : 62 : 166476
गअ : 61 : 232642
वआ : 61 : 194059
अन : 60 : 122643
णअ : 59 : 208149
आत : 58 : 265628
टअ : 57 : 217714
अव : 57 : 99583
मआ : 55 : 165006
अल : 55 : 134367
हअ : 53 : 209726
जअ : 50 : 204125
दअ : 50 : 190972
इक : 48 : 110698
शअ : 45 : 143221
पर : 44 : 138325
आल : 44 : 164800
आन : 44 : 118032
अम : 44 : 95373
सआ : 42 : 149484
आव : 41 : 121623
लआ : 40 : 246141
बअ : 40 : 167142
रई : 40 : 112964
वइ : 40 : 125851
अह : 40 : 87277
आस : 36 : 101136
लए : 35 : 184968
तआ : 35 : 139086
तय : 35 : 147055
आह : 34 : 299007
धअ : 34 : 97382
चअ : 33 : 180131
डअ : 33 : 165676
नआ : 33 : 185401
हआ : 32 : 104154
इत : 32 : 100703
सअं : 32 : 77018
अद : 32 : 68855
तई : 31 : 135902
पआ : 31 : 113338
लय : 31 : 118126
षअ : 31 : 101915
अंत : 31 : 90696
आम : 30 : 84789
नए : 29 : 136341
आय : 29 : 85181
नइ : 29 : 76605
अंद : 28 : 60461
दआ : 27 : 73122
एल : 27 : 135036
कष : 27 : 75079
तर : 27 : 82551
आग : 27 : 63234
अय : 27 : 63174
णआ : 26 : 83488
चआ : 25 : 143073
ळअ : 25 : 115320
दए : 25 : 64427
णय : 24 : 102673
आज : 24 : 77284
जआ : 23 : 80855
इव : 23 : 47794
इल : 23 : 61327
ऊन : 22 : 138228
आच : 22 : 132805
अंग : 22 : 64361
लई : 21 : 129637
अध : 21 : 93182
आप : 21 : 56631
कए : 20 : 100443
मउ : 20 : 72853
अंच : 20 : 114571
अड : 20 : 64829
हइ : 20 : 49813
एत : 19 : 82472
ईल : 19 : 90902
रइ : 19 : 48604
दइ : 19 : 62460
तइ : 19 : 37591
इर : 19 : 36653
आण : 18 : 123329
यए : 18 : 98921
भआ : 18 : 76326
मइ : 18 : 47748
आद : 18 : 32029
अग : 18 : 34230
अट : 18 : 33852
खअ : 17 : 80547
सत : 17 : 42054
रओ : 17 : 39559
इअं : 17 : 36851
इअ : 17 : 36851
अश : 17 : 48731
रय : 17 : 24893
ठअ : 16 : 57317
बआ : 16 : 54786
आठ : 16 : 65659
शइ : 16 : 41455
एश : 16 : 41347
अप : 16 : 37201
धआ : 16 : 35506
षट : 16 : 35690
तए : 15 : 101910
घअ : 15 : 62489
