Char : Freq_in_tokens : Freq_in_corpus
रअ : 90454 : 939223
अर : 82257 : 770785
यआ : 67203 : 818483
नअ : 51031 : 474900
वअ : 50830 : 427253
तअ : 47828 : 709491
सअ : 47470 : 472474
कअ : 45083 : 545838
आअ : 44846 : 352119
आअं : 43976 : 344586
मअ : 42335 : 335198
लअ : 38578 : 329405
अल : 36619 : 326458
आर : 36467 : 383771
अक : 32511 : 320742
अव : 32448 : 227781
अन : 31711 : 224947
पअ : 30916 : 336431
अत : 30513 : 346436
यअ : 29295 : 303031
अच : 28451 : 128283
अम : 26679 : 179155
रआ : 26624 : 235634
चअ : 26149 : 161988
आच : 25920 : 216081
अण : 24803 : 305811
लआ : 23693 : 250618
अस : 23558 : 271480
वआ : 23060 : 223089
चय : 22006 : 166868
चआ : 21532 : 144844
गअ : 21368 : 173743
नआ : 21076 : 213330
टअ : 21040 : 152423
आत : 20898 : 316329
बअ : 20726 : 138467
आव : 20687 : 179372
सआ : 20360 : 166023
कआ : 19817 : 256342
डअ : 19070 : 122608
आन : 18632 : 167802
आस : 18392 : 142496
मआ : 17562 : 179234
जअ : 17378 : 159670
अह : 17091 : 125939
अप : 17003 : 102201
अड : 16600 : 106384
चई : 16517 : 103809
अध : 16405 : 103961
अंच : 16241 : 126991
चए : 16057 : 103234
नए : 15832 : 140447
दअ : 15744 : 139537
आल : 15662 : 217517
वइ : 15054 : 134173
हअ : 14835 : 159411
रई : 14317 : 139302
पआ : 14291 : 126746
आय : 14038 : 107323
तई : 13848 : 166640
हई : 13806 : 149084
ऊन : 13506 : 143367
अद : 13454 : 113520
ईल : 12902 : 108461
इक : 12695 : 130358
तआ : 12638 : 163626
ईच : 12199 : 59806
पर : 12171 : 139563
आम : 11896 : 114905
अंत : 11318 : 99760
णआ : 10813 : 106374
लए : 10630 : 187596
यए : 10587 : 106435
अंग : 10518 : 67159
आप : 10471 : 98019
बआ : 10198 : 61291
शअ : 10175 : 112980
अय : 10061 : 89299
रए : 9940 : 73795
ळअ : 9884 : 82599
अग : 9879 : 65035
धय : 9706 : 66692
आह : 9495 : 321123
हआ : 9426 : 117425
इअ : 9183 : 59094
अळ : 9131 : 69660
अंन : 9128 : 116995
णअ : 9073 : 159819
लय : 9028 : 122992
एल : 8925 : 171088
रइ : 8889 : 67604
अट : 8879 : 64449
इत : 8819 : 116408
इअं : 8639 : 57331
आठ : 8620 : 70670
नइ : 8608 : 86299
तर : 8572 : 86256
गआ : 8527 : 62863
मउ : 8522 : 72813
दआ : 8474 : 84288
नई : 8449 : 90998
इर : 8366 : 58389
लई : 8043 : 130300
आज : 7971 : 93553
आक : 7936 : 50833
एक : 7788 : 108158
उर : 7734 : 56893
णय : 7658 : 104111
अंद : 7526 : 65761
सअं : 7411 : 81196
धअ : 7231 : 66829
रओ : 7226 : 46814
कष : 7193 : 75080
अज : 7173 : 62980
ठई : 7055 : 59130
आब : 6938 : 34492
अश : 6929 : 75298
अब : 6867 : 35255
इन : 6787 : 42095
भआ : 6727 : 79127
अंड : 6626 : 39395
ईत : 6604 : 50860
आद : 6557 : 53596
एअ : 6503 : 35427
एच : 6485 : 48711
आण : 6401 : 151348
षअ : 6340 : 72908
इल : 6338 : 81827
एस : 6276 : 32067
आग : 6191 : 80479
इव : 6178 : 66131
डए : 6153 : 33137
ईअ : 6105 : 19923
ईअं : 6097 : 22021
एअं : 6003 : 32527
डई : 5974 : 28828
जआ : 5942 : 91035
वए : 5862 : 63893
एव : 5801 : 50629
टई : 5778 : 40594
दए : 5759 : 68731
इय : 5676 : 35159
खअ : 5642 : 60294
एत : 5613 : 116119
तय : 5535 : 156010
ईन : 5454 : 39770
आळ : 5409 : 41583
शइ : 5388 : 43143
आड : 5374 : 26424
धआ : 5355 : 42784
एन : 5345 : 25987
ळए : 5338 : 43379
इस : 5326 : 47745
चअं : 5230 : 20117
कए : 5194 : 107339
सउ : 5181 : 50425
ओर : 5179 : 29181
मइ : 5163 : 53520
एश : 5066 : 45892
नअं : 5047 : 35006
तए : 4975 : 111469
रय : 4905 : 39792
अंब : 4863 : 38584
ऊर : 4861 : 39994
सत : 4861 : 42413
पउ : 4856 : 40432
ईस : 4818 : 23602
ईक : 4768 : 24899
शआ : 4727 : 46696
शई : 4703 : 36688
उळ : 4700 : 34102
रउ : 4695 : 40958
लइ : 4627 : 34330
अंस : 4608 : 20722
ईव : 4578 : 23808
हइ : 4565 : 58317
अख : 4557 : 23173
डआ : 4543 : 23023
वह : 4516 : 33904
कओ : 4494 : 39016
टआ : 4484 : 29109
सट : 4457 : 19991
उद : 4451 : 25829
तइ : 4366 : 45727
एट : 4360 : 26243
अंक : 4359 : 23280
अभ : 4291 : 38429
णए : 4249 : 45360
भअ : 4249 : 33851
फअ : 4191 : 28321
एम : 4187 : 18311
धई : 4184 : 31615
उल : 4169 : 34311
जई : 4125 : 31522
उक : 4090 : 35707
मओ : 4088 : 38706
ओल : 4083 : 39681
रऊ : 4074 : 47742
ईम : 4040 : 14713
आई : 4035 : 27092
सए : 4017 : 66240
एर : 4017 : 22267
आश : 4003 : 23769
सई : 3998 : 17062
सओ : 3956 : 26438
ईप : 3953 : 13847
खआ : 3952 : 30452
कई : 3948 : 46818
ओब : 3898 : 14820
अंव : 3891 : 24511
आट : 3888 : 29892
णई : 3870 : 42676
अंम : 3851 : 15803
वई : 3826 : 39867
अंप : 3823 : 26331
सऊ : 3796 : 37760
उन : 3757 : 28986
उअ : 3753 : 29047
मए : 3693 : 24942
पए : 3680 : 17195
वय : 3665 : 36185
थअ : 3616 : 30659
सइ : 3598 : 18651
यउ : 3598 : 20502
तऊ : 3547 : 23448
उअं : 3515 : 28180
पऊ : 3485 : 32309
कर : 3457 : 30754
इम : 3424 : 23187
घअ : 3419 : 40265
दई : 3385 : 34408
कउ : 3368 : 19479
टर : 3353 : 27473
ळआ : 3239 : 34058
टए : 3230 : 16429
उप : 3203 : 36550
दइ : 3197 : 65256
सथ : 3151 : 36245
तत : 3136 : 29070
हए : 3090 : 216806
आध : 3087 : 32289
ओक : 3086 : 29489
ठअ : 3073 : 33793
पओ : 3022 : 25890
दध : 3006 : 17933
उस : 2994 : 23377
यअं : 2963 : 20668
चइ : 2956 : 25713
एह : 2937 : 15189
षआ : 2928 : 25270
ओड : 2869 : 21030
गर : 2856 : 23883
इट : 2854 : 13982
लओ : 2843 : 26519
इष : 2843 : 21290
मई : 2834 : 41446
ळई : 2798 : 30950
दउ : 2797 : 23670
उत : 2787 : 26125
दय : 2775 : 27156
अंट : 2757 : 10879
नय : 2752 : 30060
मअं : 2730 : 28359
ईर : 2716 : 20744
रव : 2699 : 38368
डऊ : 2695 : 17639
